scenario_key,scenario_name,pd_multiplier,issue_year,grade,loan_status,loans,exposure_at_default,expected_loss,expected_loss_rate,exposure_weighted_pd,exposure_weighted_lgd
baseline,Baseline,1.0,2013,B,Late (31-120 days),1,803.55,81.77382079921769,0.10176569074633525,0.1137781304556632,0.8944222438774477
baseline,Baseline,1.0,2013,C,In Grace Period,1,553.53,90.46268777899822,0.1634286990388926,0.18306731200078077,0.8927246336483904
baseline,Baseline,1.0,2013,C,Late (31-120 days),1,11.19,1.8287671422452083,0.16342869903889262,0.1830673120007808,0.8927246336483903
baseline,Baseline,1.0,2013,D,Current,3,2671.9,567.8215257374218,0.21251600948292293,0.23829898226286633,0.8918041003150305
baseline,Baseline,1.0,2013,F,Late (31-120 days),1,286.36,86.80657152119268,0.30313790865062396,0.34327371297356507,0.8830792955998006
baseline,Baseline,1.0,2013,G,Current,1,507.28,163.38633970963772,0.3220831487731386,0.36382732725036165,0.8852637629154846
baseline,Baseline,1.0,2014,A,Current,226,619143.7899999996,30514.831275029985,0.049285532323646505,0.0550803596800088,0.8947932186712747
baseline,Baseline,1.0,2014,A,In Grace Period,1,1559.88,76.87951616100969,0.04928553232364649,0.05508035968000874,0.894793218671274
baseline,Baseline,1.0,2014,A,Late (16-30 days),1,4545.52,224.0283728877816,0.049285532323646485,0.05508035968000874,0.894793218671274
baseline,Baseline,1.0,2014,A,Late (31-120 days),1,4269.61,210.43000166436426,0.049285532323646485,0.05508035968000874,0.894793218671274
baseline,Baseline,1.0,2014,B,Current,1936,5427194.280000003,552302.1747187601,0.10176569074633528,0.11377813045566318,0.8944222438774441
baseline,Baseline,1.0,2014,B,Default,1,2274.99,2034.8016605987546,0.8944222438774477,1.0,0.8944222438774477
baseline,Baseline,1.0,2014,B,In Grace Period,16,55838.51999999999,5682.445558053057,0.10176569074633529,0.11377813045566322,0.8944222438774478
baseline,Baseline,1.0,2014,B,Late (16-30 days),4,21715.89,2209.9325460214345,0.10176569074633526,0.11377813045566322,0.8944222438774476
baseline,Baseline,1.0,2014,B,Late (31-120 days),23,88942.61000000002,9051.306143431906,0.10176569074633525,0.11377813045566319,0.8944222438774476
baseline,Baseline,1.0,2014,C,Current,3835,9001894.180000003,1471167.8547231788,0.16342869903889254,0.18306731200078055,0.8927246336483889
baseline,Baseline,1.0,2014,C,In Grace Period,48,128497.66999999998,21000.20703762894,0.16342869903889265,0.18306731200078083,0.8927246336483906
baseline,Baseline,1.0,2014,C,Late (16-30 days),18,45384.94,7417.201700158197,0.16342869903889257,0.18306731200078075,0.8927246336483903
baseline,Baseline,1.0,2014,C,Late (31-120 days),87,275112.63,44961.29921006822,0.1634286990388926,0.1830673120007808,0.8927246336483902
baseline,Baseline,1.0,2014,D,Current,3433,7959842.830000011,1691594.0343428566,0.2125160094829227,0.23829898226286556,0.8918041003150308
baseline,Baseline,1.0,2014,D,In Grace Period,61,166741.93000000005,35435.329577080876,0.2125160094829229,0.2382989822628663,0.8918041003150304
baseline,Baseline,1.0,2014,D,Late (16-30 days),23,69260.44999999998,14718.95444899151,0.21251600948292299,0.23829898226286644,0.8918041003150307
baseline,Baseline,1.0,2014,D,Late (31-120 days),115,400748.62,85165.49752818831,0.212516009482923,0.23829898226286636,0.8918041003150302
baseline,Baseline,1.0,2014,E,Current,1724,4511978.039999999,1178257.492854115,0.26113989970884594,0.29363559484171464,0.8893332562410016
baseline,Baseline,1.0,2014,E,In Grace Period,48,180184.37000000002,47053.32831090152,0.2611398997088455,0.29363559484171486,0.8893332562410007
baseline,Baseline,1.0,2014,E,Late (16-30 days),16,52031.67,13587.545085483749,0.2611398997088456,0.2936355948417149,0.8893332562410009
baseline,Baseline,1.0,2014,E,Late (31-120 days),75,277986.3,72593.31450243304,0.26113989970884555,0.2936355948417148,0.8893332562410007
baseline,Baseline,1.0,2014,F,Current,451,1325072.15,401679.60036218574,0.30313790865062384,0.34327371297356496,0.8830792955998001
baseline,Baseline,1.0,2014,F,In Grace Period,14,51960.21,15751.109392447237,0.30313790865062396,0.34327371297356507,0.8830792955998004
baseline,Baseline,1.0,2014,F,Late (16-30 days),7,24731.190000000006,7496.961215041226,0.30313790865062396,0.343273712973565,0.8830792955998005
baseline,Baseline,1.0,2014,F,Late (31-120 days),24,95875.5,29063.4985608329,0.303137908650624,0.34327371297356507,0.8830792955998005
baseline,Baseline,1.0,2014,G,Current,142,384269.2899999999,123766.6629000183,0.32208314877313854,0.3638273272503617,0.8852637629154847
baseline,Baseline,1.0,2014,G,In Grace Period,7,17292.64,5569.667941800328,0.32208314877313865,0.3638273272503617,0.8852637629154846
baseline,Baseline,1.0,2014,G,Late (16-30 days),3,12900.09,4154.901606656877,0.3220831487731386,0.36382732725036165,0.8852637629154845
baseline,Baseline,1.0,2014,G,Late (31-120 days),6,16820.440000000002,5417.580278949651,0.32208314877313854,0.3638273272503616,0.8852637629154846
baseline,Baseline,1.0,2015,A,Current,1408,8605510.840000004,424127.1826663106,0.049285532323646505,0.05508035968000875,0.894793218671273
baseline,Baseline,1.0,2015,A,In Grace Period,9,63792.08,3144.0266208326425,0.049285532323646485,0.055080359680008746,0.894793218671274
baseline,Baseline,1.0,2015,A,Late (16-30 days),3,20174.670000000002,994.3193504039011,0.049285532323646485,0.05508035968000873,0.8947932186712739
baseline,Baseline,1.0,2015,A,Late (31-120 days),19,91950.02,4531.805682869941,0.049285532323646485,0.05508035968000874,0.8947932186712739
baseline,Baseline,1.0,2015,B,Current,10316,67019791.62000005,6820315.387884768,0.10176569074633543,0.113778130455663,0.8944222438774482
baseline,Baseline,1.0,2015,B,In Grace Period,71,516681.88,52580.48841431511,0.10176569074633526,0.1137781304556632,0.8944222438774478
baseline,Baseline,1.0,2015,B,Late (16-30 days),36,232512.38,23661.78295777439,0.10176569074633528,0.11377813045566322,0.8944222438774477
baseline,Baseline,1.0,2015,B,Late (31-120 days),213,1404405.7799999998,142920.32428984574,0.10176569074633526,0.11377813045566322,0.8944222438774478
baseline,Baseline,1.0,2015,C,Current,15133,102451867.59999986,16743575.435972843,0.16342869903889254,0.1830673120007808,0.8927246336483918
baseline,Baseline,1.0,2015,C,In Grace Period,185,1326999.09,216869.7349044943,0.16342869903889257,0.18306731200078075,0.8927246336483902
baseline,Baseline,1.0,2015,C,Late (16-30 days),103,771512.2000000002,126087.23513863393,0.16342869903889257,0.18306731200078077,0.8927246336483903
