segment_type,segment_value,loans,outstanding_exposure,exposure_share,weighted_average_interest_rate,delinquent_exposure_rate,exposure_weighted_months_on_book
grade,C,266538,2847282831.430088,0.2993867098345697,14.474162684860845,0.04711020648504672,16.44041230839643
grade,B,268980,2675986003.720013,0.2813751540147145,10.79298165033703,0.027914899811193432,14.447062000973352
grade,A,196647,2002677953.300016,0.21057801377447874,7.0760784075258165,0.011219851351024417,11.416998134624437
grade,D,122215,1368665328.4700003,0.1439127174273292,19.10617720684234,0.0664799261129193,15.881796266753634
grade,E,41243,455426148.3399993,0.04788724696368155,24.139692895184826,0.09098936308563402,19.726109388196924
grade,F,9451,120184689.92000005,0.012637205721345383,28.146141546026293,0.12168210984056758,22.488682844204956
grade,G,2830,40161901.26000001,0.004222952263893317,30.308095608163452,0.14647886044825154,21.63009269621415
purpose,debt_consolidation,493847,5556163175.41996,0.584220645041255,13.749961157294587,0.042067203485673985,15.222356615730211
purpose,credit_card,220254,2307074550.8700266,0.24258477292932903,11.939095835396751,0.02988002049348754,14.422156765182091
purpose,home_improvement,62413,621448367.1700008,0.06534418707032495,12.795705165963065,0.04405030669669683,15.515475117697688
purpose,other,60808,451670257.9200012,0.04749232178697277,14.066088374728805,0.05186435785672012,14.640645800616896
purpose,major_purchase,20782,188690821.7799999,0.019840503263359222,13.274491377255695,0.05551111941317662,15.261957297624372
purpose,small_business,9069,103881229.52999999,0.010922925948644061,14.109840122976257,0.06573440977638763,15.094154377111748
purpose,house,6810,78533262.17000003,0.008257632404520506,13.369448618680751,0.050730355392290184,13.185037661603099
purpose,medical,11823,77960461.56999993,0.00819740344337471,13.536332972018869,0.0446126736548002,14.948571080400823
purpose,car,9319,59967052.80999995,0.006305428614636241,12.960332694712612,0.039191429624636946,15.42815445476952
purpose,moving,5851,35019912.33000001,0.0036822813018219896,14.323805056150446,0.06397451423888241,14.687461740713038
purpose,vacation,6414,25990107.47000001,0.002732813431035937,13.549021276128634,0.045763284794912755,14.429482091325873
