segment_type,segment_value,loans,exposure,defaults,default_rate,exposure_share,default_contribution,vs_portfolio_pp,risk_multiple
dti_band,30+,51478,608244500.0,10611,0.20612688915653288,0.06887459847416219,0.10553378553100073,5.745662054872158,1.3864701469013339
dti_band,20-29.99,200592,2666628875.0,34738,0.17317739491106326,0.3019558632182154,0.34549360491715236,2.4507126303251967,1.1648421472076653
dti_band,10-19.99,291925,3918534100.0,39913,0.13672347349490452,0.443715418297761,0.3969625842897778,-1.1946795112906776,0.9196423385470424
dti_band,<10,132305,1637756425.0,15283,0.11551339707494047,0.18545143633909442,0.152000079565572,-3.315687153287082,0.7769771196126788
grade,G,2060,39844175.0,771,0.3742718446601942,0.004511757286188779,0.00766813199928391,22.56015760523829,2.5174626249416057
grade,F,10349,170528000.0,3572,0.34515412117112765,0.019309747196401987,0.03552602788773298,19.648385256331636,2.321608243552961
grade,E,32147,476933450.0,9454,0.2940865399570722,0.05400558470754262,0.09402661468382631,14.541627134926088,1.9781126563567704
grade,D,87126,1106392575.0,20771,0.238401854785024,0.12528242237771056,0.2065820619417978,8.97315861772127,1.603561068514126
grade,C,180210,2262553525.0,32994,0.18308639920093225,0.2562003693591562,0.32814831022616514,3.441613059312096,1.2314930275932299
grade,B,220196,2773925800.0,25050,0.11376228451016367,0.3141056362566684,0.24913969725299862,-3.490798409764763,0.7651986209177164
grade,A,144214,2001010075.0,7934,0.055015463131180053,0.22658448281633153,0.07890915600819526,-9.365480547663124,0.3700502033551144
income_band,<$40k,123095,915076800.0,23807,0.19340346886551038,0.10361877036787215,0.23677719650707138,4.473320025769908,1.3008886758367555
income_band,"$40k-$74,999",306215,3587721700.0,47819,0.15616152050030208,0.40625585849857837,0.4755932607960536,0.749125189249078,1.05038836589616
income_band,"$75k-$124,999",182830,2989726300.0,22299,0.12196576054258054,0.33854181741083156,0.22177908618940584,-2.670450806523075,0.8203776160808814
income_band,$125k+,64158,1338637600.0,6621,0.10319835406340597,0.1515807001993707,0.06585045650746922,-4.547191454440533,0.6941425143694387
interest_rate_band,20%+,29970,499167125.0,9306,0.3105105105105105,0.05652321608477664,0.09255465160225171,16.18402419026992,2.088585118048249
interest_rate_band,15-19.99%,139067,1847590750.0,32268,0.23203204210919917,0.2092120373481818,0.3209277345692519,8.336177350138788,1.5607158329773
interest_rate_band,10-14.99%,290996,3559498750.0,43876,0.1507787048619225,0.4030600312465336,0.43637737950788696,0.21084362541111956,1.0141819630370965
interest_rate_band,<10%,216269,2924930975.0,15096,0.06980195959661348,0.331204715320508,0.15014023432060947,-7.886830901119782,0.46950853220524824
loan_amount_band,$25k+,70446,2109957575.0,10804,0.1533656985492434,0.23892115880314896,0.107453304954946,0.46954299414321,1.0315828442727748
loan_amount_band,"$15k-$24,999",174606,3248760500.0,26163,0.14984021167657469,0.3678735688957621,0.2602092574542995,0.11699430687633905,1.0078693815496471
loan_amount_band,"$5k-$14,999",355744,3230226850.0,52541,0.14769328505891877,0.36577491004720586,0.522556839655481,-0.09769835488925294,0.9934285209945387
loan_amount_band,<$5k,75506,242242675.0,11038,0.14618705798214712,0.027430362253883046,0.10978059793527341,-0.24832106256641728,0.9832971941941208
purpose,small_business,8796,126021400.0,2179,0.2477262391996362,0.014270039966085649,0.021671672667236887,9.905597059182492,1.666279623487681
purpose,educational,423,2754975.0,88,0.20803782505910165,0.00031195974140556135,0.000875221291747061,5.936755645129035,1.3993236644234537
purpose,renewable_energy,515,4631375.0,104,0.20194174757281552,0.0005244339957176314,0.0010343524357010721,5.327147896500422,1.3583196523679737
purpose,moving,4861,33839250.0,941,0.19358156757868752,0.0038317892827913654,0.009358900403795278,4.491129897087623,1.3020866202196162
purpose,house,3034,41233975.0,562,0.1852340145023072,0.0046691313634872845,0.00558948143138464,3.65637458944959,1.2459385204378033
purpose,medical,7303,56207725.0,1274,0.17444885663425988,0.006364684745231774,0.012670817337338134,2.5778588026448586,1.1733943731174112
purpose,other,36799,316005775.0,6287,0.1708470338867904,0.03578293082574761,0.06252859387742923,2.2176765278979103,1.149167452824619
purpose,vacation,4445,25238500.0,710,0.1597300337457818,0.002857882896746526,0.007061444512959243,1.1059765137970494,1.0743912366711725
purpose,debt_consolidation,387026,5312813800.0,60576,0.15651661645470846,0.6015967546652502,0.602470511009886,0.7846347846897167,1.052776845837251
purpose,home_improvement,39309,487607200.0,5189,0.13200539316695922,0.055214227359409736,0.05160821912358522,-1.6664875440852072,0.8879071411055722
purpose,major_purchase,14199,138806675.0,1869,0.13162898795689837,0.015717781264209585,0.018588506753127922,-1.7041280650912927,0.8853753288368138
purpose,wedding,2346,24395050.0,291,0.12404092071611253,0.002762374790905812,0.002894197680663577,-2.4629347891698767,0.834335754402446
purpose,credit_card,159396,2199706950.0,19541,0.12259404251047705,0.24908393407926246,0.19434885525033319,-2.6076226097334247,0.8246036255835205
purpose,car,7850,61924950.0,935,0.11910828025477707,0.007012075023748788,0.009299226224812523,-2.9561988353034225,0.8011573623303389
state,IA,14,112800.0,3,0.21428571428571427,1.2772914030271534e-05,2.983708949137708e-05,6.561544567790298,1.4413488069426645
state,NE,768,9187950.0,153,0.19921875,0.0010403980094364658,0.0015216915640602312,5.054848139218871,1.3400039689545085
state,MS,2501,30075100.0,470,0.1879248300679728,0.003405555556310456,0.004674477353649076,3.9254561460161512,1.2640377381957528
state,NV,9899,122453275.0,1790,0.18082634609556522,0.013866003140959206,0.01780279672985499,3.2156077487753927,1.2162912449736734
state,AR,4962,60719075.0,884,0.17815397017331722,0.0068755277036578865,0.008791995703459113,2.948370156550592,1.1983160576865792
state,OK,5989,77405050.0,1052,0.17565536817498748,0.008764964974812673,0.010462872714976229,2.698509956717618,1.1815097249764326
state,AL,8131,103152800.0,1410,0.17341040462427745,0.01168051282253363,0.014023432060947229,2.474013601646616,1.1664094391443527
state,TN,9084,116522025.0,1526,0.16798767062967856,0.013194377730125448,0.015177132854613808,1.931740202186727,1.129934533668101
state,LA,7879,101823500.0,1309,0.16613783475060287,0.011529989465969446,0.013018916714737533,1.7467566142791573,1.117491992893822
state,FL,47487,585595350.0,7796,0.16417124686756376,0.06630992076309193,0.07753664989159191,1.550097825975247,1.1042641437653125
state,SD,1384,16709450.0,227,0.16401734104046242,0.001892095464034758,0.0022576731048475325,1.5347072432651125,1.103228927857367
state,MO,10634,134752075.0,1725,0.16221553507617079,0.01525865841645126,0.01715632645754182,1.3545266468359491,1.0911094504314887
state,NY,57787,750080300.0,9336,0.1615588281101286,0.08493538286968334,0.09285302249716548,1.2888559502317292,1.0866922460220814
state,NM,3782,50077750.0,602,0.15917503966155475,0.005670556698399205,0.005987309291269668,1.0504771053743451,1.0706581830524218
state,IN,9646,122255600.0,1521,0.15768194070080863,0.01384361940176653,0.01512740437212818,0.901167209299733,1.0606151598257343
state,ND,311,4027900.0,49,0.15755627009646303,0.00045609947183094607,0.000487339128359159,0.8886001488651735,1.0597698623394083
state,NJ,25305,347636550.0,3956,0.1563327405651057,0.039364643323849216,0.03934517534262925,0.7662471957294414,1.0515400424647636
state,OH,21642,266948875.0,3336,0.15414471860271695,0.03022797013167289,0.03317884351441131,0.547444999490565,1.0368227625211812
state,NC,18121,230389000.0,2788,0.15385464378345565,0.02608811073156231,0.027728601833986434,0.5184375175644351,1.0348716338794046
state,MD,15529,209637425.0,2389,0.15384120033485738,0.02373830502706114,0.023760268931633282,0.517093172704608,1.0347812092859459
state,HI,3496,47350250.0,531,0.1518878718535469,0.005361708090087453,0.005281164839973743,0.3217603245735612,1.0216425467974608
state,KY,6185,76123500.0,935,0.15117219078415522,0.008619848592051197,0.009299226224812523,0.2501922176343929,1.016828665205038
state,AZ,15746,197765650.0,2368,0.1503873999745967,0.02239400395027278,0.023551409305193644,0.17171313667854182,1.0115499311521066
state,CA,103888,1371441050.0,15596,0.1501232096103496,0.15529520061378835,0.1551130825691723,0.1452941002538316,1.009772908975978
state,MI,17389,217449225.0,2607,0.1499223647133245,0.024622874617678828,0.025928430768006685,0.12520961055132174,1.008421967063342
state,PA,23006,289172875.0,3439,0.149482743632096,0.032744505959764685,0.03420325025361526,0.08124750242846923,1.0054649462323095
state,MN,11925,149907275.0,1765,0.1480083857442348,0.016974758298646038,0.01755415431742685,-0.06618828635764906,0.9955479809798251
state,VA,19438,268715450.0,2855,0.14687725074596153,0.03042800834623873,0.028394963499293855,-0.1793017861849766,0.9879396339386478
state,DE,1825,23061775.0,265,0.14520547945205478,0.0026114013250041253,0.0026356095717383087,-0.34647891557565147,0.9766948079921982
state,TX,54390,756150575.0,7721,0.14195624195624196,0.08562275078382436,0.07679072265430748,-0.6714026651569338,0.95483947991457
state,AK,1720,26608800.0,244,0.14186046511627906,0.003013048890502564,0.0024267499452986694,-0.6809803491532235,0.9541952566891748
state,UT,4672,60483875.0,649,0.1389126712328767,0.006848894819084129,0.006454757026634575,-0.975759737493459,0.9343675271033853
state,RI,2933,36269075.0,407,0.13876576883736788,0.004106930646564456,0.004047898474330157,-0.9904499770443415,0.9333794183383682
state,MA,15654,223559825.0,2133,0.1362591031046378,0.02531480873535061,0.021214170628369104,-1.2411165503173505,0.9165188465764202
state,GA,21929,288999800.0,2934,0.13379543070819463,0.03272490780288712,0.029180673522566786,-1.487483789961666,0.8999474606529693
state,WI,8791,110773625.0,1151,0.13092935957228985,0.012543457348816824,0.011447496668191674,-1.7740909035521446,0.8806694223286732
state,IL,27295,369822125.0,3545,0.12987726689869938,0.04187682809501182,0.03525749408231058,-1.8793001709111912,0.8735927372359338
