population_scope,issue_year,loans,exposure,defaults,default_rate,exposure_default_rate
fully_matured,2007,603,4791550.0,158,0.2620232172470978,0.2981968256618422
fully_matured,2008,2393,19975025.0,496,0.20727120768909318,0.23569182016042534
fully_matured,2009,5281,51814750.0,723,0.1369058890361674,0.1466816881293454
fully_matured,2010,12537,126351175.0,1757,0.14014517029592408,0.14096228230564536
fully_matured,2011,21721,257363650.0,3297,0.15178859168546568,0.16458608276654454
fully_matured,2012,53367,717942625.0,8644,0.1619727546985965,0.17703845067006574
fully_matured,2013,134804,1982607275.0,21024,0.15595976380522833,0.1663817283228722
fully_matured,2014,162570,2046040750.0,22315,0.13726394783785445,0.13240242160377305
fully_matured,2015,283026,3624300800.0,42132,0.14886264866125373,0.14470680110216017
resolved,2007,603,4791550.0,158,0.2620232172470978,0.2981968256618422
resolved,2008,2393,19975025.0,496,0.20727120768909318,0.23569182016042534
resolved,2009,5281,51814750.0,723,0.1369058890361674,0.1466816881293454
resolved,2010,12537,126351175.0,1757,0.14014517029592408,0.14096228230564536
resolved,2011,21721,257363650.0,3297,0.15178859168546568,0.16458608276654454
resolved,2012,53367,717942625.0,8644,0.1619727546985965,0.17703845067006574
resolved,2013,134804,1982607275.0,21024,0.15595976380522833,0.1663817283228722
resolved,2014,223103,3253489500.0,41162,0.1844977431948472,0.19702088327010123
resolved,2015,375546,5498601150.0,75804,0.20185010624530683,0.21680646904167616
resolved,2016,293105,4240361600.0,68252,0.23285853192541922,0.2479377230470156
resolved,2017,169321,2421502475.0,39169,0.23132984095298278,0.2556748367560516
resolved,2018,56318,838076925.0,8874,0.15756951596292482,0.180318053739518
